LON,LAT,EDO,CLAVE,ESTACION,ene-24
-109.424444,23.445278,BCS,CPULMO,"Cabo Pulmo, B.C.S. SMN*",0.20
-109.925833,22.8975,BCS,CSLBS,"Cabo San Lucas, B.C.S.",0.02
-113.457778,27.643611,BCS,DORBS,"Díaz Ordaz, B.C.S.",3.83
-109.995,24.083889,BCS,SARBS,"El Sargento, B.C.S.",0.01
-114.051944,27.963056,BCS,GNGBS,"Guerrero Negro, B.C.S.",6.04
-109.591389,23.593056,BCS,RBRBS,"La Ribera, B.C.S.",0.03
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",0.02
-109.934167,23.9675,BCS,PLNBS,"Los Planes, B.C.S.",0.02
-111.983056,26.896111,BCS,MLGBS,"Mulegé, B.C.S.",0.21
-111.663611,25.009722,BCS,CCNBS,"Observatorio de Ciudad Constitución, B.C.S.",0.01
-110.366667,24.15,BCS,LPZBS,"Observatorio de La Paz, B.C.S.",0.40
-111.349167,26.011667,BCS,LRTBS,"Observatorio de Loreto, B.C.S.",0.01
-112.272778,27.337778,BCS,SRLBS,"Observatorio de Santa Rosalía, B.C.S.",0.02
-111.829444,24.481111,BCS,PCORTESmar,"Puerto Cortés, B.C.S. SEMAR*",0.51
-110.059167,23.805,BCS,SANBS,"San Antonio, B.C.S.",0.81
-109.843889,23.738333,BCS,SBABS,"San Bartolo, B.C.S.",0.01
-109.708333,23.118889,BCS,SJCBS,"San José del Cabo, B.C.S.",0.01
-109.713611,23.490278,BCS,SNTBS,"Santiago, B.C.S.",0.01
-109.998611,23.555556,BCS,SLAGUNA,"Sierra La Laguna, B.C.S. SMN*",1.40
-110.210556,23.478889,BCS,TSNBS,"Todos Santos, B.C.S.",0.00
-89.743889,20.003889,CAMP,BOLCA,"Bolonchén, Camp.",8.70
-89.8925,18.365,CAMP,CALAKMUL,"Calakmul, Camp. SMN*",44.75
-90.544167,19.838333,CAMP,CMPCA,"Campeche, Camp.",10.00
-90.575556,19.295,CAMP,CANCA,"Canasayab, Camp.",27.61
-91.046111,18.183056,CAMP,CNDCA,"Candelaria, Camp.",103.90
-90.72,19.361667,CAMP,CHMCA,"Champotón, Camp.",39.03
-91.761389,18.654167,CAMP,CARCA,"El Carmen, Camp.",6.82
-90.741111,18.604444,CAMP,ESCCA,"Escárcega, Camp.",75.12
-90.105556,20.184167,CAMP,HECCA,"Hecelchakán, Camp.",15.00
-89.848333,19.751944,CAMP,HPOCA,"Hopelchen, Camp.",18.60
-90.820833,18.056944,CAMP,MONCLOVACAMP,"Monclova, Camp. SMN*",82.60
-90.221389,19.605833,CAMP,NYXCA,"Noh-Yaxché, Camp.",25.50
-90.507222,19.838611,CAMP,COBCA,"Observatorio de Campeche, Camp.",13.13
-92.086944,18.253056,CAMP,PLZCA,"Palizada, Camp.",91.50
-91.175833,18.972778,CAMP,SBNCA,"Sabancuy, Camp.",21.00
-89.860278,19.664444,CAMP,XCPCA,"Xcupil, Camp.",46.51
-89.396111,18.502222,CAMP,XPJCA,"Xpujil, Camp.",45.90
-107.482778,28.481667,CHIH,AGZCH,"Abraham González, Chih.",7.00
-107.9,27.9,CHIH,BTVCH,"Batovira, Chih.",36.01
-106.770556,26.229444,CHIH,CHNCH,"Chinatú, Chih. SMN*",14.60
-106.84,28.396667,CHIH,CDCUAUHTEMOC,"Ciudad Cuauhtémoc, Chih. SMN*",18.00
-105.446944,28.210833,CHIH,CDLCH,"Ciudad Delicias, Chih.",0.01
-106.400278,31.736667,CHIH,CJZCH,"Ciudad Juárez, Chih.",2.02
-107.633333,27.75,CHIH,CRLCH,"Creel, Chih.",30.03
-106.486111,28.803333,CHIH,MAJALCA,"Cumbres de Majalca, Chih. SMN*",9.80
-107.384167,29.5625,CHIH,TNTCH,"El Tintero, Chih.",2.02
-105.628889,28.166111,CHIH,FIMCH,"Francisco I. Madero, Chih.",0.01
-107.072222,26.816667,CHIH,GCCCH,"Guachochi, Chih. SMN*",10.40
-108.3,29.2,CHIH,GPCCH,"Guapoca, Chih.",28.02
-105.28,28.984444,CHIH,LLNCH,"Ing. Luis L. León, Chih.",0.50
-108.427222,30.838889,CHIH,JANOS,"Janos, Chih. SMN*",6.80
-105.414167,27.544722,CHIH,LBQCH,"La Boquilla, Chih.",0.01
-107.025833,29.88,CHIH,LJSCH,"Las Lajas, Chih.",2.02
-107.994167,27.858611,CHIH,MAGCH,"Maguarichi, Chih. SMN*",16.00
-107.930833,30.376667,CHIH,CAGCH,"Observatorio de Nuevo Casas Grandes, Chih.",12.31
-105.675556,26.917778,CHIH,PRRCH,"Observatorio de Parral, Chih.",0.01
-107.85,28.95,CHIH,TMCCH,"Observatorio de Temósachic, Chih.",34.32
-104.43,29.583333,CHIH,OJINAGAC,"Ojinaga Río Conchos, Chih. CILA*",11.00
-104.410833,29.565,CHIH,OJNCH,"Ojinaga, Chih.",0.00
-104.74,29.5,CHIH,PEGUIS,"Peguis, Chih. SGT*",0.75
-105.254167,26.546389,CHIH,PAGCH,"Pico del Águila, Chih.",0.00
-107.879167,26.870833,CHIH,IGNCH,"San Ignacio, Chih.",4.00
-107.9125,27.216667,CHIH,URECH,"Urique, Chih.",0.01
-106.505,30.615556,CHIH,VILLAAHUMADA,"Villa Ahumada, Chih. SMN*",13.75
-92.804167,16.552778,CHIS,ACACP,"Acala, Chis.",0.01
-92.034722,16.737778,CHIS,ALTAMIRANO,"Altamirano, Chis. SGT*",50.80
-93.458611,17.446111,CHIS,PENCP,"Ángel Albino Corzo, Chis.",134.11
-93.427222,17.253611,CHIS,AZAPACCFE,"Aza-Pac, Chis. CFE*",240.90
-93.026389,16.9525,CHIS,BOMBANA,"Bombana, Chis. SGT*",15.90
-93.15,16.641944,CHIS,BOQCP,"Boquerón, Chis.",0.40
-92.716667,15.35,CHIS,CACCP,"Cacaluta, Chis.",0.00
-93.034167,16.742778,CHIS,SUMIDEROCFE,"Cañón del Sumidero, Chis. CFE*",0.00
-92.479167,16.308333,CHIS,CASCP,"Cascajal, Chis.",3.20
-92.483056,15.969167,CHIS,CATARINITAS,"Catarinitas, Chis. SGT*",0.00
-92.283333,15.75,CHIS,CHMCP,"Chicomuselo, Chis.",2.90
-93.906111,16.2425,CHIS,CREDARRIAGA,"Cred Arriaga, Chis. SMN*",0.00
-92.135556,16.224444,CHIS,CREDCOMITAN,"Cred Comitan, Chis. SMN*",10.64
-93.466944,16.441389,CHIS,COBREGONCFE,"Cristóbal Obregón, Chis. CFE*",3.90
-92.113056,15.435833,CHIS,CUILCOCFE,"Cuilco, Chis. CFE*",2.70
-92.575,15.204167,CHIS,DESCP,"Despoblado, Chis.",0.00
-92.778889,16.401389,CHIS,ANGCP,"Doctor Belisario Domínguez, Chis.",0.10
-92.590833,16.686111,CHIS,ELAGUAJE,"El Aguaje, Chis. SGT*",2.20
-92.925278,16.108333,CHIS,DORADOCFE,"El Dorado, Chis. CFE*",1.80
-92.829444,17.373056,CHIS,escaloncp,"El Escalón, Chis. SGT*",176.40
-92.95,15.495833,CHIS,ELNCP,"El Novillero, Chis.",0.00
-92.808056,15.656667,CHIS,ELTRIUNFO,"El Triunfo, Chis. SMN*",12.40
-93.342222,17.216667,CHIS,EZAPATACFE,"Emiliano Zapata, Chis. CFE*",233.90
-92.666667,15.316667,CHIS,ESCCP,"Escuintla, Chis.",0.00
-92.299167,15.126667,CHIS,FARCP,"Finca Argovia, Chis.",5.80
-92.965278,15.727778,CHIS,CUXTEPEQUES,"Finca Cuxtepeques, Chis. SGT*",1.80
-92.325278,15.173889,CHIS,FHACP,"Finca Hamburgo, Chis.",49.90
-92.476111,15.346667,CHIS,FPZCP,"Finca la Paz, Chis.",6.00
-93.125,16.975,CHIS,GRICP,"Grijalva, Chis.",2.10
-92.402778,14.997222,CHIS,HUECP,"Huehuetán, Chis.",0.00
-92.472222,15.133333,CHIS,HUICP,"Huixtla, Chis.",0.00
-92.725,15.866667,CHIS,JAPCP,"Jaltenango, Chis.",0.00
-93.381389,17.364167,CHIS,JDGCP,"Juan de Grijalva, Chis.",302.00
-92.898611,15.996389,CHIS,JSBCP,"Juan Sabines, Chis.",0.00
