LON,LAT,EDO,CLAVE,ESTACION,feb-24
-108.927778,28.371389,SON,YCRSO,"Yécora, Son.",22.52
-91.483333,17.433333,TAB,BDCTB,"Boca del Cerro, Tab.",32.6
-91.229167,17.289722,TAB,CUSUMACINTA,"Cañón Usumacinta, Tab. SMN*",16.2
-92.916667,17.98,TAB,EMUTB,"Villahermosa Muelle, Tab.",33.4
-92.814722,18.043611,TAB,EPOTB,"El Porvenir, Tab.",24.1
-93,17.975,TAB,GONTB,"González, Tab.",15.1
-92.6,17.766667,TAB,MACTB,"Macuspana, Tab.",43.5
-92.75,17.380556,TAB,OXOTB,"Oxolotán, Tab.",59.9
-93.33,18.42,TAB,PARAISO,"Paraíso, Tab. SMN*",15.75
-92.879167,17.854167,TAB,PNVTB,"Pueblo Nuevo, Tab.",29.1
-93.622778,18.175,TAB,POBLADOC11,"Poblado C11, Tab. SGT*",33.6
-92.877222,18.010833,TAB,PORVENIR,"Porvenir, Tab. SGT*",22.8
-92.9375,17.566667,TAB,PUYTB,"Puyacatengo, Tab.",70.1
-93.275556,17.996944,TAB,SAMTB,"Samaria, Tab.",25.4
-91.158333,17.791667,TAB,SPTTB,"San Pedro, Tab.",52.8
-92.778611,17.456944,TAB,TAPTB,"Tapijulapa, Tab.",49
-92.966667,17.566667,TAB,TEATB,"Teapa, Tab.",48
-93.8325,17.965556,TAB,ZAMAPA2ASECC,"Zamapa 2a. Sección, Tab. Protección Civil*",1.4
-98.39,24.065556,TAMPS,ABSTP,"Abasolo, Tamps.",11.5
-97.926944,22.386111,TAMPS,BALTP,"Bombas Altamira, Tamps.",9.1
-99.123056,24.080556,TAMPS,BR1TP,"El Barretal Uno, Tamps.",12
-98.5975,26.238056,TAMPS,CDOTP,"S-J-2-18 Ciudad Díaz Ordaz, Tamps.",45.7
-98.8,26.25,TAMPS,CMGTP,"S-J-2-11 Camargo, Tamps.",40.7
-99.148611,26.430556,TAMPS,CMRTP,"Mier, Tamps.",35.6
-97.817778,25.966389,TAMPS,CONTP,"Control, Tamps.",41.02
-98.935833,23.939167,TAMPS,CORTP,"Corona, Tamps.",11.8
-99.166667,23.716667,TAMPS,CVCTP,"Observatorio de Ciudad Victoria, Tamps.",8.3
-99.1875,23.730278,TAMPS,CVTTP,"Ciudad Victoria, Tamps.",8.8
-99.078611,23.384444,TAMPS,ENNTP,"La Encantada, Tamps.",5
-98.691667,22.605,TAMPS,ERCTP,"Estudiante Ramiro Caballero Dorantes, Tamps.",9
-98.158333,24.843889,TAMPS,FDOTP,"San Fernando, Tamps.",17
-99.154722,23.046667,TAMPS,GOMEZFARIAS,"Gómez Farías, Tamps. SGT*",18.5
-99.233611,26.408889,TAMPS,LBLTP,"Derivadora Las Blancas, Tamps.",42.6
-99.120556,22.852778,TAMPS,LSRTP,"La Servilleta, Tamps.",26.1
-99.551111,24.566667,TAMPS,MAGTP,"Magueyes, Tamps.",2
-97.522778,25.833333,TAMPS,MATTP,"Matamoros, Tamps.",33.03
-99.040833,26.374167,TAMPS,MGATP,"S-J-1-2 Miguel Alemán, Tamps.",61
-98.705556,22.795833,TAMPS,MGSTP,"Magiscatzín Dos, Tamps.",1.1
-99.434444,24.2525,TAMPS,MHGTP,"Miguel Hidalgo, Tamps.",3.6
-98.925556,26.204722,TAMPS,MRGTP,"Marte Rodolfo Gómez, Tamps.",42.4
-98.9,24.05,TAMPS,PADTP,"Padilla, Tamps.",7.7
-97.8,25.8,TAMPS,PANTP,"Pueblo Anáhuac, Tamps.",50.82
-98.745833,23.726667,TAMPS,PDMTP,"Paso de Molina, Tamps.",13.5
-99.019167,24.208056,TAMPS,PILTP,"Pilón, Tamps.",7.5
-99.555833,24.2475,TAMPS,PJMTP,"Pedro José Méndez, Tamps.",22
-99.583333,24.183333,TAMPS,PVLTP,"Puerto de Valles, Tamps.",2.6
-99.026111,22.843056,TAMPS,RFRTP,"Río Frío, Tamps.",9.2
-98,25.966667,TAMPS,RIBTP,"Río Bravo, Tamps.",76.2
-97.991944,23.259444,TAMPS,RSPTP,"República Española, Tamps.",15.1
-98.285833,26.079722,TAMPS,RYATP,"S-J-3-42 Reynosa, Tamps.",61.3
-99.093056,23.031389,TAMPS,SBNTP,"Sabinas, Tamps.",0.5
-98.869444,22.784444,TAMPS,SDATP,"Saca de Agua, Tamps.",5.6
-98.787222,23.083611,TAMPS,SGBTP,"San Gabriel, Tamps.",12.2
-98.208889,23.762222,TAMPS,SLMTP,"Observatorio de Soto la Marina, Tamps.",10.7
-98.791389,22.943889,TAMPS,SLZTP,"Lic. Emilio Portes Gil, Tamps.",7
-99.274167,24.0225,TAMPS,STETP,"Santa Engracia, Tamps.",3.5
-97.876111,22.238333,TAMPS,TMPTP,"Tampico, Tamps.",11.7
-98.422778,22.423889,TAMPS,TMSTP,"Tamesí, Tamps.",5
-97.804167,25.906111,TAMPS,VCATP,"Villa Cárdenas, Tamps.",58.42
-98.666389,23.959444,TAMPS,VGRTP,"Vicente Guerrero, Tamps.",22.1
-97.8,25.7,TAMPS,VHMTP,"Valle Hermoso, Tamps.",34.01
-99.488611,24.303889,TAMPS,VILLAGRAN,"Villagrán, Tamps. SMN*",23.6
-99.551111,24.566667,TAMPS,VSMTP,"Victoria San Marcos, Tamps.",5.1
-98.131111,19.428611,TLAX,APITL,"Apizaco, Tlax.",22
-98.563889,19.586111,TLAX,CPPTL,"Calpulalpan, Tlax.",13
-97.769722,19.298889,TLAX,CUATL,"Cuapiaxtla, Tlax.",16.3
-97.6475,19.318056,TLAX,ECTTL,"El Carmen Tequexquitla, Tlax.",13.5
-98.246944,19.324722,TLAX,OBSTL,"Observatorio de Tlaxcala, Tlax.",20.4
-98.200556,19.556111,TLAX,SJATL,"San José Atlanga, Tlax.",12
-98.243056,19.219444,TLAX,ZACTL,"Zacatelco, Tlax.",20.7
-97.908056,19.200278,TLAX,ZITTL,"Zitlaltepec, Tlax.",25.5
-96.843889,19.695833,VER,ACAVC,"Acatlán, Ver.",29.53
-96.5875,19.495,VER,ACTVC,"Actopan, Ver.",11.4
-94.144444,18.141667,VER,AGDVC,"Agua Dulce, Ver.",5
-97.68,20.93,VER,ALAVC,"Álamo Temapache, Ver.",4
-97.234722,19.7625,VER,ALTVC,"Altotonga, Ver.",26.5
-96.736111,19.621667,VER,ALUVC,"Alto Lucero, Ver.",1.64
-95.4375,18.583333,VER,ARCVC,"Ángel Rosario Cabada, Ver.",22.42
-97.236944,19.885833,VER,ARRVC,"Arroyo Colorado Protección Civil, Ver.",79.01
-96.944444,19.588889,VER,BANVC,"Banderilla, Ver.",24
-96.933333,19.483333,VER,BRIVC,"Briones, Ver.",21.63
-96.971667,19.948889,VER,BUVVC,"Buena Vista Protección Civil, Ver.",68.1
-94.253889,17.954444,VER,CB2VC,"Planta de Bombeo 2 de La Cangrejera, Ver.",34
-95.8,18.3,VER,CCLVC,"Chacaltianguis, Ver.",6.4
-96.697778,19.433056,VER,CEGVC,"Cerro Gordo, Ver.",20.1
-96.9025,20.172778,VER,CEPVC,"Pital Protección Civil, Ver",5.5
-96.853611,18.563333,VER,CHMVC,"Chicomapa, Ver.",32.7
-98.155833,21.7375,VER,CHYVC,"Paso de Piedras, Ver.",14.01
-97.470556,20.253056,VER,CIRVC,"El Ciruelo Protección Civil, Ver.",15.81
-97.545,21.068333,VER,CLHVC,"Chalahuite, Ver.",43.1
-96.939444,19.453889,VER,COAVC,"Coatepec, Ver.",19.61
-97.470833,20.252778,VER,COMVC,"Comalteco, Ver. PC",20
-94.4,18.1,VER,COTVC,"Observatorio de Coatzacoalcos, Ver.",20.3
-96.374444,19.364722,VER,CRDVC,"Cardel, Ver.",1.94
-95.295833,18.144444,VER,CTTVC,"Cuatotolapan, Ver.",16.81
-96.666389,19.361667,VER,CUMVC,"La Cumbre, Ver.",14
-95.970833,19.040833,VER,ELSALADOmar,"El Salado, Ver. SEMAR*",1.016
-96.36,19.405833,VER,ENRVC,"El Naranjillo, Ver.",2.6
-96.158333,19.068889,VER,ETEVC,"El Tejar, Ver.",3.31
-97.556389,20.179167,VER,FABVC,"La Fábrica Protección Civil, Ver.",51.8
-96.9975,18.897778,VER,FORVC,"Fortín, Ver.",10.2
-95.556944,18.270556,VER,GARVC,"Garro, Ver.",8.04
-98.2875,21.194444,VER,HLSVC,"Los Hules, Ver.",2
-96.950833,19.181667,VER,HTSVC,"Huatusco, Ver.",15.2
-98.483333,20.533333,VER,HUYVC,"Huayacocotla, Ver.",0
-96.554167,19.404167,VER,IDOVC,"Ídolos, Ver.",0.5
